"kMV","alpha","lrrA","lrrV"
254909.223230581,0.884379668705168,30.8738768809408,28.9456933926149
269209.884724745,0.883629249203169,32.2985100800419,31.1771864854787
235583.822190794,0.885302755208047,27.4827654792314,30.6719792063057
259013.148949921,0.882977197136714,26.267165308206,34.4655563283346
253833.706458052,0.88124283228834,31.4920718380739,27.0802891022174
273688.416154823,0.884194395212938,32.5849482113451,28.0216826306375
291146.764261418,0.885160545309948,36.651920786772,27.8478243712323
297332.531543919,0.882214778561133,35.2502043853086,30.2847929423933
267259.722758963,0.884419844572109,29.737455008647,28.3320276849143
253020.134290667,0.884273656547983,31.9710706921605,26.4424972811365
240360.067785804,0.881477413104935,27.4295888421898,29.8545115320452
225854.387783799,0.88031063956407,27.0308060601549,30.1500704053576
244208.545342772,0.881000461167987,30.9993333449989,25.927299296505
254233.693387703,0.886141301727499,32.3999535695037,26.3644136656222
256041.83845741,0.886697446698113,32.8497198562715,24.6087637014382
229479.67068053,0.882272967588657,30.2901593405022,26.9527101946989
259421.868036105,0.876889610860494,25.6702567997115,35.4879934675777
246509.962744977,0.881729911388902,28.3754230601125,30.8500610956865
250928.038683716,0.882304799944819,26.290883284071,32.9685687468844
242946.090463417,0.875082728061564,24.1231198927912,36.7138074111378
272011.856747163,0.884724840423617,32.9623111871153,32.0055195222972
238147.119783302,0.881254770031904,29.9901243701482,28.6915731007241
230224.748310743,0.882973168656213,29.7705843320932,27.8931516596567
260085.200734464,0.881019853087385,25.3297515434064,33.297936875188
260528.60728522,0.884441886477677,32.4938195551559,27.3114355191305
264098.865895386,0.882328559199661,30.4755416633015,29.8349821948551
240808.481463359,0.883620583055913,30.5195004342517,26.667253978917
288425.739805572,0.88657079559405,32.7062677685641,30.4838258241966
240055.471815424,0.883013511080683,26.750527103223,30.7610959492478
270563.302813652,0.882831417870677,31.8829312342963,28.4840736562631
256638.335920171,0.887160482501957,33.7337297363883,27.0293034794121
245765.249070529,0.881876144474883,28.3123933258545,27.8049685243159
262230.572632957,0.885091268214997,33.9781081468411,26.0834510138453
287588.925104539,0.886453833783964,31.0652097412773,33.3610146659113
235590.22080661,0.88143441984162,32.0161888153424,28.0713207437473
251585.993951897,0.882415199081626,27.8749954969468,30.7887881395824
253026.145831375,0.885861608883636,30.8241365172757,27.1909794221606
288690.432910353,0.885846978688285,33.1392087285638,31.7721154065276
244220.443661004,0.885880063633802,29.1533211546418,28.2533717424893
232291.668168853,0.882757573228407,29.0198361913354,28.2154864538508
240148.049270739,0.881883115442689,24.122511301388,33.1230218761934
265831.901508391,0.883615753112201,30.6701213607823,30.8072956901724
278885.216440416,0.886939423110048,38.2077733826992,25.1744362484083
267367.611207732,0.883793504493199,32.3471604565619,27.3785405547156
221624.880939575,0.878336987104469,26.441675296659,28.395415066043
290763.784119418,0.885305937551582,36.2214506904923,27.7845952739666
257664.165475558,0.884794538673011,30.5393370918722,27.4792766000729
253405.180857488,0.887041233436304,35.7604587991716,26.6756053106783
296078.467792777,0.888366914827003,38.4752880776398,25.7090447858713
256865.188442919,0.885731145236469,33.0626433489828,28.5706247205665
269668.315666769,0.88320500273864,30.6190742102697,30.027098353457
261158.850673754,0.885331817470111,34.6168233122716,26.2168464213496
279937.738508138,0.883532372666454,31.4031864172978,33.3284557530645
268814.35753502,0.882856084207876,31.487157259157,29.0189539765103
254325.96628527,0.883816526313948,30.8633125386783,28.0134581965128
256212.691895708,0.881806748859407,27.1766494085217,31.8399310652147
275130.265575298,0.887956031012042,36.1142652111186,22.3266981099695
269870.898882146,0.882786971765791,32.5176100885281,28.8882423812201
228716.564850635,0.882485751075787,30.389604872469,27.3395725755824
237083.736365731,0.881617023702088,29.5692224567224,28.7388949261012
276921.791729674,0.884129888840559,29.4518005925954,32.1601210031247
244829.925522367,0.884710393962866,30.8400942227429,27.4473473440455
289038.820587532,0.887043882132147,37.3683499520098,24.3313464864852
259101.965001781,0.885095455408466,34.9325789556878,26.8043492302469
266130.02888709,0.885412117120961,34.967963822096,27.8641810285154
264314.264502236,0.887410401866165,35.3819882889424,27.6078140129696
295200.468362269,0.88684119113807,35.2408118923978,26.4730759365742
256768.649087521,0.884657938574723,33.2009236351063,26.8301397830136
234507.180886695,0.880375291570193,27.8464714017911,28.3101161049561
254081.032268677,0.885127265040402,31.6855602941772,29.66173242186
240885.401843471,0.882250826424274,28.6271054550157,29.7834710069971
252915.026287922,0.88464685969896,31.1243762938412,27.3984800164311
286977.977800333,0.889357529888094,34.846873490012,30.7930503791462
280656.560722107,0.886472585852138,38.0604904144318,25.609132572206
226666.230508708,0.88279019494256,24.4112520378657,30.9705799524031
271596.029096655,0.886607608940529,33.1156204755818,28.3077993075725
277349.691016362,0.887875124312465,34.3259274316743,25.8007677341067
265667.838725606,0.883742647111011,35.6171738171922,26.5516033563169
269502.346778848,0.883026973324499,32.3205339799689,30.3145069938238
238589.56971404,0.883332167135859,28.8869455911097,30.7427186675914
229259.443070049,0.880418310513041,30.9433738948571,29.0636723560745
258471.445410998,0.886917729654381,33.9443695783354,26.9995975087717
235224.716916012,0.882750043510907,29.9450795157435,28.5194348094888
269826.292196417,0.884051685976393,31.8258510822449,29.5640414740289
281145.32211969,0.887785150321632,35.2727745378946,25.9048160373493
232652.33965368,0.882186153410981,29.5599350182503,28.5299925440314
239378.708145113,0.882979242204061,29.3479500466888,27.1634647820285
263269.35575538,0.886434832462747,33.8529914998659,25.3974199709561
235732.562794603,0.882301167935489,28.4853553588105,30.5437395875939
279921.827962134,0.886714760007813,35.4465992755896,27.007066742925
260889.277438866,0.886186021198312,35.1246605971563,24.706868695881
250181.724456932,0.883144165426351,27.7978717703156,33.1083671013328
270314.611635219,0.881874070106301,33.021299515416,30.245371577082
275068.351832456,0.888089384901315,31.6598325069895,27.8166764220761
295260.687459599,0.887021673056588,32.9695532768367,26.2746327875336
294756.535780131,0.885871552632378,36.5997915350519,29.2097724595896
280070.142732655,0.887598932645647,36.3478643202119,26.7373545806504
255804.488656597,0.882456269969836,30.7354960838674,28.2477810282293
244042.147875749,0.880776569337842,29.663049727221,28.6809000999173
296966.704202252,0.886591065538515,33.0134872821433,31.1586324281754
237330.221406442,0.885302430270422,29.910818012523,28.4623667040867
257709.940474984,0.883773887768534,35.0326026303587,29.1451783359644
242022.2129661,0.883714478279317,29.591449086853,27.3810196123208
297320.02154209,0.887795959696796,33.7930981136417,29.2957089880176
240585.752390691,0.881530583481508,30.8054882258,28.5069974561434
261687.426568571,0.885958334614114,35.7467691846476,25.1721460734141
234619.659923954,0.882555904494175,26.88783628752,28.0404841657914
245998.223083045,0.881823120113677,29.0120440116444,27.4825930318845
227848.783864974,0.879245267945408,26.6307706771293,28.6145698789991
256546.7462379,0.885457534948971,30.3883180322904,27.5663082233919
270665.963349387,0.885575360685988,35.7168349714562,30.6951794784197
276669.427084338,0.883583379830942,28.9023548552704,31.0273807649825
242498.257056167,0.883983783258605,29.2784212708654,27.379845064263
254680.259230575,0.882929941390745,30.2983616895194,30.3230702203997
240947.867219187,0.881400599040578,30.4010039224864,28.4899352003033
266498.07882053,0.885991064788358,30.7119913923406,29.1019971322696
253371.460640348,0.88413963526662,30.8065714971509,26.8555652471403
237618.070250446,0.88492726736229,28.4207905649642,28.9399792512239
268150.520101777,0.885114382765705,31.7543521847993,28.315864233472
238810.232448617,0.881831996644042,28.8364108409887,29.4762336783154
274028.657890965,0.886183278608673,39.1506632105678,25.4136187489392
269356.516226082,0.884378803434146,32.3336015834718,28.0392964393909
236399.652445206,0.88168653078098,26.9485188991129,30.6579386442365
251851.695925223,0.882311187366907,23.4495344700036,33.9303234383048
246319.443960373,0.88344373349904,30.7527680686592,29.8858875062897
271971.843260804,0.882438105833864,31.2589593068337,29.5793276120601
277408.90100527,0.886417967601459,33.4341764200788,26.7788686212465
277066.769923313,0.88708586511599,37.7154658387566,27.6030082259234
223127.12095043,0.879303812997606,27.5537723775059,29.8188983853921
260831.909386394,0.886516730434556,35.1623800772802,24.2718397293507
249890.909460633,0.884517168957865,32.4649217220686,27.6284250264693
255983.663348232,0.886895120148564,34.868027125735,26.9701578786324
281050.842742004,0.886363722267515,38.8247421453485,24.4701282263645
226525.863094884,0.879121187658196,28.9704723234097,28.8053489655819
228114.182402185,0.881871199527769,28.7102133611716,31.0349413964865
291539.033305616,0.885662196630812,35.9400742480643,27.320413221908
293730.444651792,0.884016225497418,33.1296207822826,31.6659530571898
276679.430307108,0.888133563851072,33.6497657955557,26.7472277981943
232595.248677048,0.882283710753479,29.0762891814089,28.1956196663035
255118.50044747,0.884479406586593,33.3697987858576,28.6824491278502
236194.109849407,0.882323582614615,28.6861859058672,28.1168141091597
259168.444869849,0.881844514593394,26.2158837712949,31.4024138469084
256024.181652078,0.883789204526826,29.8523620955566,28.2823788890687
271016.035349787,0.884463923807178,31.4647311133319,29.7641276060438
258877.110210263,0.885814799486284,34.0758089512504,27.4729662862244
235014.630777227,0.878879285592487,30.0245588780885,29.6389879501698
243641.015162503,0.884364475557411,33.5654171992687,27.340944167596
227068.263377733,0.877567496445851,24.4657036610486,33.754921269035
271582.956059784,0.887678359146963,34.1119953307694,27.752748772431
288558.08777957,0.885611464523865,36.0558747415766,27.6428222157074
265571.747382373,0.884101650160531,29.6686689899404,31.9808409041419
258715.199032471,0.883002062057612,28.5042044415704,29.5808948308062
225729.052214629,0.878838265096244,26.23072908966,30.7872003163613
